time,logger,level,message,exception
2012-07-03 10:37:57.1494,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3185573888
  PollingInterval     = 00:02:00",
2012-07-03 10:37:57.1984,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-07-03 10:37:58.0719,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-07-03 10:37:58.1389,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-07-03 10:37:58.1389,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:38:19.1160,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/SomeDB' was found,
2012-07-03 10:38:19.2479,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/SomeDB' was found,
2012-07-03 10:38:19.3059,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -    80 ms - <default>  - 200 - /docs/Raven/Databases/SomeDB,
2012-07-03 10:38:19.7147,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3185573888
  PollingInterval     = 00:02:00",
2012-07-03 10:38:19.7167,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-07-03 10:38:19.9885,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-07-03 10:38:19.9975,Raven.Database.Indexing.IndexStorage,Info,Ignoring delete for non existing index Temp/UserModels,
2012-07-03 10:38:19.9975,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-07-03 10:38:19.9975,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:38:20.0115,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Replication/Destinations' was not found,
2012-07-03 10:38:20.0115,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -   919 ms - SomeDB     - 404 - /docs/Raven/Replication/Destinations,
2012-07-03 10:38:26.7182,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Hilo/UserModels' was found,
2012-07-03 10:38:26.7182,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/ServerPrefixForHilo' was not found,
2012-07-03 10:38:26.7801,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -    96 ms - SomeDB     - 200 - /queries/?&id=Raven/Hilo/UserModels&id=Raven/ServerPrefixForHilo,
2012-07-03 10:38:26.9311,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'Raven/Hilo/UserModels', update: True, ",
2012-07-03 10:38:26.9351,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 1 because: PUT Raven/Hilo/UserModels,
2012-07-03 10:38:26.9351,Raven.Database.DocumentDatabase,Debug,Put document Raven/Hilo/UserModels with etag 00000000-0000-0500-0000-000000000001,
2012-07-03 10:38:26.9351,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:38:26.9351,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work",
2012-07-03 10:38:26.9351,Raven.Database.Server.HttpServer,Debug,Request #   4: PUT     -   128 ms - SomeDB     - 201 - /docs/Raven/Hilo/UserModels,
2012-07-03 10:38:27.0370,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,"Inserted a new document with key 'UserModels/129', update: False, ",
2012-07-03 10:38:27.0370,Raven.Database.DocumentDatabase,Debug,Put document UserModels/129 with etag 00000000-0000-0500-0000-000000000002,
2012-07-03 10:38:27.0370,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 2 because: PUT UserModels/129,
2012-07-03 10:38:27.0370,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:38:27.0370,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 2, for: IndexingExecuter, will wait for additional work",
2012-07-03 10:38:27.0370,Raven.Database.DocumentDatabase,Debug,Successfully executed 1 commands in 00:00:00.0129873,
2012-07-03 10:38:27.0490,Raven.Database.Server.HttpServer,Debug,Request #   5: POST    -    38 ms - SomeDB     - 200 - /bulk_docs,
2012-07-03 10:38:27.0490,Raven.Database.Server.HttpServer,Debug,"	PUT UserModels/129
",
2012-07-03 10:38:27.7646,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Temp%2fUserModels:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using Raven.Database.Indexing;
public class Index_Temp_2fUserModels : AbstractViewGenerator
{
	public Index_Temp_2fUserModels()
	{
		this.ViewText = @""from doc in docs.UserModels
select new {  }
"";
		this.ForEntityNames.Add(""UserModels"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""UserModels""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using Raven.Database.Indexing;
public class Index_Temp_2fUserModels : AbstractViewGenerator
{
	public Index_Temp_2fUserModels()
	{
		this.ViewText = @""from doc in docs.UserModels
select new {  }
"";
		this.ForEntityNames.Add(""UserModels"");
		this.AddMapDefinition(docs => from doc in docs
			where doc[""@metadata""][""Raven-Entity-Name""] == ""UserModels""
			select new { __document_id = doc.__document_id });
		this.AddField(""__document_id"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-07-03 10:38:27.8116,Raven.Database.Indexing.IndexStorage,Info,Creating index Temp/UserModels with encoded name Temp/UserModels,
2012-07-03 10:38:28.0285,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Temp/UserModels,
2012-07-03 10:38:28.0435,Raven.Database.Indexing.WorkContext,Debug,Incremented work counter to 3 because: PUT INDEX Temp/UserModels,
2012-07-03 10:38:28.0435,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 3, for: ReducingExecuter, will wait for additional work",
2012-07-03 10:38:28.0975,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:28.2184,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:28.3184,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:28.4183,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
2012-07-03 10:38:28.4183,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,Found a total of 10 documents that requires indexing since etag: 00000000-0000-0000-0000-000000000000,
2012-07-03 10:38:28.5223,Raven.Database.Indexing.Index.Querying,Debug,Issuing query on index Temp/UserModels for all documents,
